Article  Description,Article Link,Video Link
5 Common Python Mistakes and How to Fix Them,https://coreyms.com/development/python/5-common-python-mistakes-and-how-to-fix-them-2,https://www.youtube.com/watch?v=zdJEYhA2AZQ
How I Setup a New Development Machine – Using Scripts to Automate Installs and Save Time,https://coreyms.com/development/how-i-setup-a-new-development-machine-using-scripts-to-automate-installs-and-save-time,https://www.youtube.com/watch?v=kIdiWut8eD8
How to Write Python Scripts to Analyze JSON APIs and Sort Results,https://coreyms.com/development/python/how-to-write-python-scripts-to-analyze-json-apis-and-sort-results,https://www.youtube.com/watch?v=1lxrb_ezP-g
Homebrew Tutorial: Simplify Software Installation on Mac Using This Package Manager,https://coreyms.com/development/terminal/homebrew-tutorial-simplify-software-installation-on-mac-using-this-package-manager,https://www.youtube.com/watch?v=SELYgZvAZbU
Python Tutorial: VENV (Windows) – How to Use Virtual Environments with the Built-In venv Module,https://coreyms.com/development/python/python-tutorial-venv-windows-how-to-use-virtual-environments-with-the-built-in-venv-module,https://www.youtube.com/watch?v=APOPm01BVrk
Python Tutorial: VENV (Mac & Linux) – How to Use Virtual Environments with the Built-In venv Module,https://coreyms.com/development/python/python-tutorial-venv-mac-linux-how-to-use-virtual-environments-with-the-built-in-venv-module,https://www.youtube.com/watch?v=Kg1Yvry_Ydk
10 Python Tips and Tricks For Writing Better Code,https://coreyms.com/development/python/10-python-tips-and-tricks-for-writing-better-code,https://www.youtube.com/watch?v=C-gEQdGVXbk
"How to Send Emails Using Python – Plain Text, Adding Attachments, HTML Emails, and More",https://coreyms.com/development/python/how-to-send-emails-using-python-plain-text-adding-attachments-html-emails-and-more,https://www.youtube.com/watch?v=JRCJ6RtE3xU
Python Tutorial: Web Scraping with Requests-HTML,https://coreyms.com/development/python/python-tutorial-web-scraping-with-requests-html,https://www.youtube.com/watch?v=a6fIbtFB46g
"Python Tutorial: Write a Script to Monitor a Website, Send Alert Emails, and Reboot Servers",https://coreyms.com/development/python/python-tutorial-write-a-script-to-monitor-a-website-send-alert-emails-and-reboot-servers,https://www.youtube.com/watch?v=yqm6MBt-yfY
"Python Requests Tutorial: Request Web Pages, Download Images, POST Data, Read JSON, and More",https://coreyms.com/development/python/python-requests-tutorial-request-web-pages-download-images-post-data-read-json-and-more,https://www.youtube.com/watch?v=tb8gHvYlCFs
Python Django Tutorial: Deploying Your Application (Option #2) – Deploy using Heroku,https://coreyms.com/development/python/python-django-tutorial-deploying-your-application-option-2-deploy-using-heroku,https://www.youtube.com/watch?v=6DI_7Zja8Zc
Python Django Tutorial: Full-Featured Web App Part 13 – Using AWS S3 for File Uploads,https://coreyms.com/development/python/python-django-tutorial-full-featured-web-app-part-13-using-aws-s3-for-file-uploads,https://www.youtube.com/watch?v=kt3ZtW9MXhw
Python Django Tutorial: How to enable HTTPS with a free SSL/TLS Certificate using Let’s Encrypt,https://coreyms.com/development/python/python-django-tutorial-how-to-enable-https-with-a-free-ssl-tls-certificate-using-lets-encrypt,https://www.youtube.com/watch?v=NhidVhNHfeU
Python Flask Tutorial: How to enable HTTPS with a free SSL/TLS Certificate using Let’s Encrypt,https://coreyms.com/development/python/python-flask-tutorial-how-to-enable-https-with-a-free-ssl-tls-certificate-using-lets-encrypt,https://www.youtube.com/watch?v=Gdys9qPjuKs
Python Django Tutorial: How to Use Custom Domain Name For Our Application,https://coreyms.com/development/python/python-django-tutorial-how-to-use-custom-domain-name-for-our-application,https://www.youtube.com/watch?v=D2lwk1Ukgz0
Python Flask Tutorial: How to Use Custom Domain Name For Our Application,https://coreyms.com/development/python/python-flask-tutorial-how-to-use-custom-domain-name-for-our-application,https://www.youtube.com/watch?v=LUFn-QVcmB8
Python Flask Tutorial: Deploying Your Application (Option #1) – Deploy to a Linux Server,https://coreyms.com/development/python/python-flask-tutorial-deploying-your-application-option-1-deploy-to-a-linux-server,https://www.youtube.com/watch?v=goToXTC96Co
Python Django Tutorial: Deploying Your Application (Option #1) – Deploy to a Linux Server,https://coreyms.com/development/python/python-django-tutorial-deploying-your-application-option-1-deploy-to-a-linux-server,https://www.youtube.com/watch?v=Sa_kQheCnds
Python Tutorial: Itertools Module – Iterator Functions for Efficient Looping,https://coreyms.com/development/python/python-tutorial-itertools-module-iterator-functions-for-efficient-looping,https://www.youtube.com/watch?v=Qu3dThVy6KQ
Python Coding Problem: Creating Your Own Iterators,https://coreyms.com/development/python/python-coding-problem-creating-your-own-iterators,https://www.youtube.com/watch?v=C3Z9lJXI6Qw
Python Tutorial: Iterators and Iterables – What Are They and How Do They Work?,https://coreyms.com/development/python/python-tutorial-iterators-and-iterables-what-are-they-and-how-do-they-work,https://www.youtube.com/watch?v=jTYiNjvnHZY
Python Tutorial: Pipenv – Easily Manage Packages and Virtual Environments,https://coreyms.com/development/python/python-tutorial-pipenv-easily-manage-packages-and-virtual-environments,https://www.youtube.com/watch?v=zDYL22QNiWk
Python Django Tutorials – Full Series,https://coreyms.com/development/python/python-django-tutorials-full-series,https://www.youtube.com/watch?v=UmljXZIypDc
Best Sublime Text Features and Shortcuts,https://coreyms.com/development/best-sublime-text-features-and-shortcuts,https://www.youtube.com/watch?v=9FPFogHkgOc
Python Tutorial: How to Set the Path and Switch Between Different Versions/Executables,https://coreyms.com/development/python/python-tutorial-how-to-set-the-path-and-switch-between-different-versionsexecutables,https://www.youtube.com/watch?v=OdIHeg4jj2c
Python Quick Tip: F-Strings – How to Use Them and Advanced String Formatting,https://coreyms.com/development/python/python-quick-tip-f-strings-how-to-use-them-and-advanced-string-formatting,https://www.youtube.com/watch?v=nghuHvKLhJA
"Big Announcements, Video Updates, and Future Plans",https://coreyms.com/general/big-announcements-video-updates-and-future-plans,https://www.youtube.com/watch?v=OPUP4ghN9oo
Python Tutorial: Sets – Set Methods and Operations to Solve Common Problems,https://coreyms.com/development/python/python-tutorial-sets-set-methods-and-operations-to-solve-common-problems,https://www.youtube.com/watch?v=r3R3h5ly_8g
Python Flask Tutorials – Full Series,https://coreyms.com/development/python/python-flask-tutorials-full-series,https://www.youtube.com/watch?v=MwZwr5Tvyxo
Linux/Mac Terminal Tutorial: The Grep Command – Search Files and Directories for Patterns of Text,https://coreyms.com/development/terminal/linuxmac-terminal-tutorial-the-grep-command-search-files-and-directories-for-patterns-of-text,https://www.youtube.com/watch?v=VGgTmxXp7xQ
How to Run Linux/Bash on Windows 10 Using the Built-In Windows Subsystem for Linux,https://coreyms.com/development/terminal/how-to-run-linuxbash-on-windows-10-using-the-built-in-windows-subsystem-for-linux,https://www.youtube.com/watch?v=xzgwDbe7foQ
Python Quick Tip: Hiding Passwords and Secret Keys in Environment Variables (Windows),https://coreyms.com/development/python/python-quick-tip-hiding-passwords-and-secret-keys-in-environment-variables-windows,https://www.youtube.com/watch?v=IolxqkL7cD8
Python Quick Tip: Hiding Passwords and Secret Keys in Environment Variables (Mac & Linux),https://coreyms.com/development/python/python-quick-tip-hiding-passwords-and-secret-keys-in-environment-variables-mac-linux,https://www.youtube.com/watch?v=5iWhQWVXosU
"Python Tutorial: Calculate Number of Days, Weeks, or Months to Reach Specific Goals",https://coreyms.com/development/python/python-tutorial-calculate-number-of-days-weeks-or-months-to-reach-specific-goals,https://www.youtube.com/watch?v=k8asfUbWbI4
Python Tutorial: Context Managers – Efficiently Managing Resources,https://coreyms.com/development/python/python-tutorial-context-managers-efficiently-managing-resources,https://www.youtube.com/watch?v=-aKFBoZpiqA
Channel Update: Look Back on the Year and Big Plans for 2018,https://coreyms.com/general/channel-update-look-back-year-big-plans-2018,https://www.youtube.com/watch?v=CtgkEaeOkew
Python Tutorial: Working with JSON Data using the json Module,https://coreyms.com/development/python/python-tutorial-working-json-data-using-json-module,https://www.youtube.com/watch?v=9N6a-VLBa2I
Python Tutorial: Web Scraping with BeautifulSoup and Requests,https://coreyms.com/development/python/python-tutorial-web-scraping-beautiful-soup-requests,https://www.youtube.com/watch?v=ng2o98k983k
Python Tutorial: re Module – How to Write and Match Regular Expressions (Regex),https://coreyms.com/development/python/python-tutorial-re-module-write-match-regular-expressions-regex,https://www.youtube.com/watch?v=K8L6KVGG-7o
Linux/Mac Terminal Tutorial: How To Use The rsync Command – Sync Files Locally and Remotely,https://coreyms.com/development/terminal/linuxmac-terminal-tutorial-use-rsync-command-sync-files-locally-remotely,https://www.youtube.com/watch?v=qE77MbDnljA
Regular Expressions (Regex) Tutorial: How to Match Any Pattern of Text,https://coreyms.com/development/regular-expressions-regex-tutorial-match-pattern-text,https://www.youtube.com/watch?v=sa-TUpSx1JA
5 Essential Skills Every Well-Rounded Programmer Should Know,https://coreyms.com/development/5-essential-skills-every-well-rounded-programmer-know,https://www.youtube.com/watch?v=TtIJEQ6D9DE
"Python Tutorial: How I Manage Multiple Projects, Virtual Environments, and Environment Variables",https://coreyms.com/development/python/python-tutorial-manage-multiple-projects-virtual-environments-environment-variables,https://www.youtube.com/watch?v=cY2NXB_Tqq0
Python Tutorial: Generate Random Numbers and Data Using the random Module,https://coreyms.com/development/python/python-tutorial-generate-random-numbers-data-using-random-module,https://www.youtube.com/watch?v=KzqSDvzOFNA
Linux/Mac Tutorial: Cron Jobs – How to Schedule Commands with crontab,https://coreyms.com/development/terminal/linuxmac-tutorial-cron-jobs-schedule-commands-crontab,https://www.youtube.com/watch?v=QZJ1drMQz1A
Python Tutorial: Unit Testing Your Code with the unittest Module,https://coreyms.com/development/python/python-tutorial-unit-testing-code-unittest-module,https://www.youtube.com/watch?v=6tNS--WetLI
"Python Tutorial: CSV Module – How to Read, Parse, and Write CSV Files",https://coreyms.com/development/python/python-tutorial-csv-module-read-parse-write-csv-files,https://www.youtube.com/watch?v=q5uM4VKywbA
Linux/Mac Tutorial: SSH Key-Based Authentication – How to SSH Without a Password,https://coreyms.com/development/terminal/linuxmac-tutorial-ssh-key-based-authentication-ssh-without-password,https://www.youtube.com/watch?v=vpk_1gldOAE
Python Tutorial: Real World Example – Parsing Names From a CSV to an HTML List,https://coreyms.com/development/python/python-tutorial-real-world-example-parsing-names-csv-html-list,https://www.youtube.com/watch?v=bkpLhQd6YQM
How to Create a Network of Machines in VirtualBox with SSH Access,https://coreyms.com/development/create-network-machines-virtualbox-ssh-access,https://www.youtube.com/watch?v=S7jD6nnYJy0
VirtualBox: How to Use Snapshots,https://coreyms.com/development/virtualbox-use-snapshots,https://www.youtube.com/watch?v=Qte4X-rdr2Q
Python Beginner Tutorials – Complete Series,https://coreyms.com/development/python/python-beginner-tutorials-complete-series,https://www.youtube.com/watch?v=YYXdXT2l-Gg
"Python SQLite Tutorial: Complete Overview – Creating a Database, Table, and Running Queries",https://coreyms.com/development/python/python-sqlite-tutorial-complete-overview-creating-database-table-running-queries,https://www.youtube.com/watch?v=pd-0G0MigUA
"Channel Update: Code Snippets, New Rewards, and Playlists",https://coreyms.com/development/channel-update-code-snippets-new-rewards-playlists,https://www.youtube.com/watch?v=4qMJN1pY_aw
Python Tutorial: Decorators With Arguments,https://coreyms.com/development/python/python-tutorial-decorators-arguments,https://www.youtube.com/watch?v=KlBPCzcQNU8
Python Tutorial: Anaconda – Installation and Using Conda,https://coreyms.com/development/python/python-tutorial-anaconda-installation-using-conda,https://www.youtube.com/watch?v=YJC6ldI3hWk
"Python Tutorial: Datetime Module – How to work with Dates, Times, Timedeltas, and Timezones",https://coreyms.com/development/python/python-tutorial-datetime-module-work-dates-times-timedeltas-timezones,https://www.youtube.com/watch?v=eirjjyP2qcQ
Linux/Mac Terminal: How To Use The Find Command,https://coreyms.com/development/terminal/linuxmac-terminal-use-find-command,https://www.youtube.com/watch?v=KCVaNb_zOuw
"Python Tutorial: Logging Advanced – Loggers, Handlers, and Formatters",https://coreyms.com/development/python/python-tutorial-logging-advanced-loggers-handlers-formatters,https://www.youtube.com/watch?v=jxmzY9soFXg
"Python Tutorial: Logging Basics – Logging to Files, Setting Levels, and Formatting",https://coreyms.com/development/python/python-tutorial-logging-basics-logging-files-setting-levels-formatting,https://www.youtube.com/watch?v=-ARI4Cz-awo
Setting up a Python Development Environment in Atom,https://coreyms.com/development/python/setting-python-development-environment-atom,https://www.youtube.com/watch?v=DjEuROpsvp4
Setting up a Python Development Environment in Sublime Text,https://coreyms.com/development/python/setting-python-development-environment-sublime-text,https://www.youtube.com/watch?v=xFciV6Ew5r4
Python Tutorial: Variable Scope – Understanding the LEGB rule and global/nonlocal statements,https://coreyms.com/development/python/python-tutorial-variable-scope-understanding-legb-rule-globalnonlocal-statements,https://www.youtube.com/watch?v=QVdf0LgmICw
"Frequently Asked Questions #1: Text Editors, Books, Career Advice, and More",https://coreyms.com/development/python/frequently-asked-questions-1-text-editors-books-career-advice,https://www.youtube.com/watch?v=N4WSqXtd_rk
"Jupyter Notebook Tutorial: Introduction, Setup, and Walkthrough",https://coreyms.com/development/python/jupyter-notebook-tutorial-introduction-setup-walkthrough,https://www.youtube.com/watch?v=HW29067qVWk
Python OOP Tutorials – Complete Series,https://coreyms.com/development/python/python-oop-tutorials-complete-series,https://www.youtube.com/watch?v=ZDa-Z5JzLYM
Linux/Mac Terminal: How To Use The cURL Command,https://coreyms.com/development/linuxmac-terminal-use-curl-command,https://www.youtube.com/watch?v=WxUVU0b95Oc
How to Install Ubuntu 16.04 LTS on VirtualBox with Guest Additions,https://coreyms.com/development/terminal/install-ubuntu-16-04-lts-virtualbox-guest-additions,https://www.youtube.com/watch?v=-2x-5DN-caM
"Channel Update: 5000 Subscribers, Future Tutorials, and Giveaway",https://coreyms.com/general/channel-update-5000-subscribers-future-tutorials-giveaway,https://www.youtube.com/watch?v=llBzkEatyN0
Python Tutorial: File Objects – Reading and Writing to Files,https://coreyms.com/development/python/python-tutorial-file-objects-reading-writing-files,https://www.youtube.com/watch?v=Uh2ebFW8OYM
Python Tutorial: OS Module – Use Underlying Operating System Functionality,https://coreyms.com/development/python/python-tutorial-os-module-use-underlying-operating-system-functionality,https://www.youtube.com/watch?v=tJxcKyFMTGo
Python Tutorial: Decorators – Dynamically Alter The Functionality Of Your Functions,https://coreyms.com/development/python/python-tutorial-decorators-dynamically-alter-functionality-functions,https://www.youtube.com/watch?v=FsAPt_9Bf3U
"Python Tutorial: String Formatting – Advanced Operations for Dicts, Lists, Numbers, and Dates",https://coreyms.com/development/python/python-tutorial-string-formatting-advanced-operations-dicts-lists-numbers-dates,https://www.youtube.com/watch?v=vTX3IwquFkc
Programming Terms: Closures – How to Use Them and Why They Are Useful,https://coreyms.com/development/programming-terms-closures-use-useful,https://www.youtube.com/watch?v=swU3c34d2NQ
JavaScript Tutorial: Run JavaScript in Sublime Text with a NodeJS Build System,https://coreyms.com/development/javascript/javascript-tutorial-run-javascript-sublime-text-nodejs-build-system,https://www.youtube.com/watch?v=1iPs43TppOY
Python Tutorial: Custom Sublime Text Build Systems,https://coreyms.com/development/python/python-tutorial-custom-sublime-text-build-systems,https://www.youtube.com/watch?v=xqcTfplzr7c
Programming Terms: First-Class Functions,https://coreyms.com/development/programming-terms-first-class-functions,https://www.youtube.com/watch?v=kr0mpwqttM0
"Python Tutorial: Duck Typing and Asking Forgiveness, Not Permission (EAFP)",https://coreyms.com/development/python/python-tutorial-duck-typing-asking-forgiveness-not-permission-eafp,https://www.youtube.com/watch?v=x3v9zMX1s4s
Customizing Your Terminal: How To Use and Modify Dotfiles,https://coreyms.com/development/customizing-your-terminal-how-to-use-and-modify-dotfiles,https://www.youtube.com/watch?v=c5RZWDLqifA
Customizing Your Terminal: Adding Color and Information to Your Prompt,https://coreyms.com/development/customizing-your-terminal-adding-color-and-information-to-your-prompt,https://www.youtube.com/watch?v=LXgXV7YmSiU
Customizing Your Terminal: .bash_profile and .bashrc files,https://coreyms.com/development/customizing-your-terminal-bash_profile-and-bashrc-files,https://www.youtube.com/watch?v=vDOVEDl2z84
"Terminal Basics: Create, Copy, Move, and Delete Files and Directories",https://coreyms.com/development/terminal-basics-create-copy-move-and-delete-files-and-directories,https://www.youtube.com/watch?v=eoejHvAPDFs
Python Tutorial: Automate Parsing and Renaming of Multiple Files,https://coreyms.com/development/python-tutorial-automate-parsing-and-renaming-of-multiple-files,https://www.youtube.com/watch?v=ve2pmm5JqmI
"Python Tutorial: Sorting Lists, Tuples, and Objects",https://coreyms.com/development/python-tutorial-sorting-lists-tuples-and-objects,https://www.youtube.com/watch?v=D3JvDWO-BY4
Python Tutorial: Image Manipulation with Pillow,https://coreyms.com/development/python-tutorial-image-manipulation-with-pillow,https://www.youtube.com/watch?v=6Qs3wObeWwc
Python Tutorial: Using Try/Except Blocks for Error Handling,https://coreyms.com/development/python-tutorial-using-tryexcept-blocks-for-error-handling,https://www.youtube.com/watch?v=NIWwJbo-9_8
Python: Slicing Lists and Strings,https://coreyms.com/development/python-slicing-lists-and-strings,https://www.youtube.com/watch?v=ajrtAuDg3yw
Programming Terms: Memoization,https://coreyms.com/development/programming-terms-memoization,https://www.youtube.com/watch?v=a7EjmdQzPqY
SQL for Beginners: UPDATE and DELETE – Modifying and Removing Records from Your Database,https://coreyms.com/development/sql-for-beginners-update-and-delete-modifying-and-removing-records-from-your-database,https://www.youtube.com/watch?v=wva2yMqcB6Q
SQL for Beginners: SELECT – Retrieving Records from Your Database,https://coreyms.com/development/sql-for-beginners-select-retrieving-records-from-your-database,https://www.youtube.com/watch?v=-FPVPcq28r4
Git: Fixing Common Mistakes and Undoing Bad Commits,https://coreyms.com/development/git-fixing-common-mistakes-and-undoing-bad-commits,https://www.youtube.com/watch?v=FdZecVxzJbk
Setting up a Python Development Environment in Eclipse,https://coreyms.com/development/setting-up-a-python-development-environment-in-eclipse,https://www.youtube.com/watch?v=NDFbXIiqT4o
Using the New Split Screen Feature in OS X El Capitan,https://coreyms.com/development/using-the-new-split-screen-feature-in-os-x-el-capitan,https://www.youtube.com/watch?v=mvki0jCnJIk
Ex Machina Easter Egg – Hidden Message within Movie’s Python Code,https://coreyms.com/development/ex-machina-easter-egg-hidden-message-within-movies-python-code,https://www.youtube.com/watch?v=mJokZMWnyGY
Terminal Basics: Navigating your Filesystem,https://coreyms.com/development/terminal-basics-navigating-your-filesystem,https://www.youtube.com/watch?v=j6vKLJxAKfw
SQL for Beginners: INSERT – Adding Records to Your Table,https://coreyms.com/development/sql-for-beginners-insert-adding-records-to-your-table,https://www.youtube.com/watch?v=fA0jpjwi4J8
SQL for Beginners: Creating Your First Table,https://coreyms.com/development/sql-for-beginners-creating-your-first-table,https://www.youtube.com/watch?v=w4HEVY_GjqY
SQL for Beginners: Installing PostgreSQL and Creating Your First Database,https://coreyms.com/development/sql-for-beginners-installing-postgresql-and-creating-your-first-database,https://www.youtube.com/watch?v=xaWlS9HtWYw
Preparing for a Python Interview: 10 Things You Should Know,https://coreyms.com/development/preparing-for-a-python-interview-10-things-you-should-know,https://www.youtube.com/watch?v=DEwgZNC-KyE
"Git: Difference between “add -A”, “add -u”, “add .”, and “add *”",https://coreyms.com/development/git-difference-between-add-a-add-u-add-and-add,https://www.youtube.com/watch?v=tcd4txbTtAY
Programming Terms: Combinations and Permutations,https://coreyms.com/development/programming-terms-combinations-and-permutations,https://www.youtube.com/watch?v=QI9EczPQzPQ
Chrome Quick Tip: Quickly Bookmark Open Tabs for Later Viewing,https://coreyms.com/development/chrome-quick-tip-quickly-bookmark-open-tabs-for-later-viewing,https://www.youtube.com/watch?v=tsiSg_beudo
Python: Comprehensions – How they work and why you should be using them,https://coreyms.com/development/python-comprehensions-how-they-work-and-why-you-should-be-using-them,https://www.youtube.com/watch?v=3dt4OGnU5sM
Python: Generators – How to use them and the benefits you receive,https://coreyms.com/development/python-generators-how-to-use-them-and-the-benefits-you-receive,https://www.youtube.com/watch?v=bD05uGo_sVI
Quickest and Easiest Way to Run a Local Web-Server,https://coreyms.com/development/quickest-and-easiest-way-to-run-a-local-web-server,https://www.youtube.com/watch?v=lE6Y6M9xPLw
Git for Beginners: Command-Line Fundamentals,https://coreyms.com/development/git-for-beginners-command-line-fundamentals,https://www.youtube.com/watch?v=HVsySz-h9r4
Time-Saving Keyboard Shortcuts for the Mac Terminal,https://coreyms.com/development/time-saving-keyboard-shortcuts-for-the-mac-terminal,https://www.youtube.com/watch?v=TXzrk3b9sKM
Overview of Online Learning Resources in 2015,https://coreyms.com/development/overview-of-online-learning-resources-in-2015,https://www.youtube.com/watch?v=QGy6M8HZSC4
Python: Else Clauses on Loops,https://coreyms.com/development/python-else-clauses-on-loops,https://www.youtube.com/watch?v=Dh-0lAyc3Bc
Programming Terms: Mutable vs Immutable,https://coreyms.com/development/programming-terms-mutable-vs-immutable,https://www.youtube.com/watch?v=5qQQ3yzbKp8
Python: Namedtuple – When and why should you use namedtuples?,https://coreyms.com/development/python-namedtuple-when-and-why-should-you-use-namedtuples,https://www.youtube.com/watch?v=GfxJYp9_nJA
Programming Terms: Idempotence,https://coreyms.com/development/programming-terms-idempotence,https://www.youtube.com/watch?v=UaKZ4wKytcA
Programming Terms: String Interpolation,https://coreyms.com/development/programming-terms-string-interpolation,https://www.youtube.com/watch?v=0q8spKeh1Kc
Programming Terms: DRY (Don’t Repeat Yourself),https://coreyms.com/development/programming-terms-dry-dont-repeat-yourself,https://www.youtube.com/watch?v=IGH4-ZhfVDk
Python: What is the difference between str() and repr()?,https://coreyms.com/development/python-what-is-the-difference-between-str-and-repr,https://www.youtube.com/watch?v=5cvM-crlDvg
Sublime Text Quick Tip: Launch Sublime Text from the Terminal,https://coreyms.com/development/sublime-text-quick-tip-launch-sublime-text-from-the-terminal,https://www.youtube.com/watch?v=4wMKGs2fe4s
"How Web Developers, Designers, Programmers, and Software Engineers can volunteer their skills and give back to the community",https://coreyms.com/development/how-web-developers-designers-programmers-and-software-engineers-can-volunteer-their-skills-and-give-back-to-the-community,https://www.youtube.com/watch?v=HfABu4aCI3U
Git: Change DiffMerge Font-Size on Mac OSX,https://coreyms.com/development/git-change-diffmerge-font-size-on-mac-osx,https://www.youtube.com/watch?v=kjBA2WISteM
Git: Diff and Merge Tools,https://coreyms.com/development/git-diff-and-merge-tools,https://www.youtube.com/watch?v=iCGrKFH2oeo
Git: Using the Stash Command,https://coreyms.com/development/git-using-the-stash-command,https://www.youtube.com/watch?v=KLEDKgMmbBI
"An in-depth look at Python’s package management system, pip",https://coreyms.com/development/an-in-depth-look-at-pythons-package-management-system-pip,https://www.youtube.com/watch?v=U2ZN104hIcc
Python: virtualenv and why you should use virtual environments,https://coreyms.com/development/python-virtualenv-and-why-you-should-use-virtual-environments,https://www.youtube.com/watch?v=N5vscPTWKOk
Resize Multiple Images Using the Mac Terminal,https://coreyms.com/web-design/resize-multiple-images-using-the-mac-terminal,https://www.youtube.com/watch?v=HVMOBKRNEbc
Resize Multiple Images Using Picasa,https://coreyms.com/web-design/resize-multiple-images-using-picasa,https://www.youtube.com/watch?v=43eOoHpUW44
"How to quickly create favicons for the desktop, Apple/Android devices, tablets, and more",https://coreyms.com/web-design/how-to-quickly-create-favicons-for-the-desktop-appleandroid-devices-tablets-and-more,https://www.youtube.com/watch?v=LOFQH4fVAQY
Sublime Text Quick Tip: “Go To Definition” Click Shortcut,https://coreyms.com/development/sublime-text-quick-tip-go-to-definition-click-shortcut,https://www.youtube.com/watch?v=DwTV5ogPdlU
Python: if __name__ == ‘__main__’,https://coreyms.com/development/python-if-__name__-__main__,https://www.youtube.com/watch?v=sugvnHA7ElY
"JavaScript Arrays: Properties, Methods, and Manipulation",https://coreyms.com/development/javascript/javascript-arrays-properties-methods-and-manipulation,https://www.youtube.com/watch?v=8JgU2WmrZXI
CSS Tips and Tricks: Add External URLs to Print Stylesheets,https://coreyms.com/web-design/css/css-tips-tricks-add-external-urls-print-stylesheets,https://www.youtube.com/watch?v=jF-OQ-BrIAM
Mac Tip: Adding Folder Stacks to the Dock,https://coreyms.com/development/mac-tip-adding-folder-stacks-dock,https://www.youtube.com/watch?v=4glHQglQrU8
"Understanding Binary, Hexadecimal, Decimal (Base-10), and more",https://coreyms.com/development/understanding-binary-hexadecimal-decimal-base-10,https://www.youtube.com/watch?v=ZL-LhaaMTTE
"Sublime Text 3: Setup, Package Control, and Settings",https://coreyms.com/development/sublime-text-3-setup-package-control-settings,https://www.youtube.com/watch?v=zVLJfrIwEP8
WordPress Tips: Test your theme with Theme Unit Test and Monster Widget,https://coreyms.com/development/wordpress/wordpress-tips-test-theme-theme-unit-test-monster-widget,https://www.youtube.com/watch?v=eGT0Z3oafFA
WordPress Plugins: Imsanity,https://coreyms.com/development/wordpress/wordpress-plugins-imsanity,https://www.youtube.com/watch?v=obsje6AO3U8
Mac Tip: Screenshots,https://coreyms.com/web-design/mac-tip-screenshots,https://www.youtube.com/watch?v=VmQq1o1taOA
ArcGIS API for JavaScript: Starting Templates,https://coreyms.com/development/javascript/arcgis-api-javascript-starting-templates,https://www.youtube.com/watch?v=AMlNnhdJOo8
Terminal 101: Creating Aliases,https://coreyms.com/development/terminal-101-creating-aliases,https://www.youtube.com/watch?v=0liXeoADU6A
Mac Tip: Windows’ Best Features on Mac with HyperDock,https://coreyms.com/development/mac-tip-windows-best-features-mac-hyperdock,https://www.youtube.com/watch?v=g0O86DQnDiA
ArcGIS API for JavaScript Part 1: First Web Map,https://coreyms.com/development/javascript/arcgis-api-javascript-part-1-first-web-map,https://www.youtube.com/watch?v=-tsFnoKNtNc
Make an American Girl Doll Bed,https://coreyms.com/diy/woodworking/make-american-girl-doll-bed,N/A
"Sublime Text 2: Setup, Package Control, and Settings",https://coreyms.com/development/sublime-text-2-setup-package-control-settings,https://www.youtube.com/watch?v=uOMk8MlE_v4
Using Font Awesome in Desktop Applications (OS X),https://coreyms.com/web-design/css/using-font-awesome-desktop-applications-os-x,https://www.youtube.com/watch?v=OlpVKUpraao
Build a Platform Bed Frame,https://coreyms.com/diy/woodworking/build-bed-frame,N/A
Make a Raised Dog Feeder,https://coreyms.com/diy/woodworking/make-raised-dog-feeder,N/A
